"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",55,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Other","White","25-34","College degree","10-","10-",81.454,30,"Young",5,5,3,"Medium","White","Not Woman","Not USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",34,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",65,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",67,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Libraries and Museums","usa","Man","White","25-34","Master's degree","10-","10-",62,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","10-","10-",35,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Libraries and Museums","usa","Man","White","25-34","Master's degree","10-","10-",50,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","21-30","21-30",122,50,"Old",25,25,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","Hispanic","35-44","College degree","21-30","21-30",45,40,"Middle",25,25,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",47.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Hispanic","35-44","PhD","11-20","10-",62,40,"Middle",15,5,5,"High","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Man","Asian ","35-44","College degree","11-20","11-20",100,40,"Middle",15,15,3,"Medium","Not White","Not Woman","USA","Woman"
"Law","usa","Woman","White","25-34","High School","10-","10-",52,30,"Young",5,5,1,"Low","White","Woman","USA","Woman"
"Health care","canada","Woman","White","24-","College degree","10-","10-",25.6,20,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Government and Public Administration","uk","Man","White","35-44","College degree","11-20","10-",34.055,40,"Middle",15,5,3,"Medium","White","Not Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Some college","10-","10-",90,40,"Middle",5,5,2,"Low","White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","45-54","College degree","21-30","21-30",59,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",99,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",54,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","Master's degree","10-","10-",74,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","35-44","PhD","10-","10-",50,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","35-44","Master's degree","11-20","10-",50.4,40,"Middle",15,5,4,"High","White","Woman","Not USA","Not Woman"
"Science","usa","Woman","Asian ","35-44","PhD","10-","10-",97,40,"Middle",5,5,5,"High","Not White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","High School","10-","10-",44.5,30,"Young",5,5,1,"Low","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","10-",60,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Man","White","25-34","College degree","10-","10-",62,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Law","usa","Woman","Other","35-44","College degree","11-20","10-",52,40,"Middle",15,5,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",140,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","College degree","10-","10-",80,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",39,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Media & Digital","usa","Woman","White","35-44","Master's degree","11-20","10-",125,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","11-20","11-20",230,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","21-30","11-20",125,40,"Middle",25,15,3,"Medium","White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","White","25-34","College degree","10-","10-",50,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","10-","10-",68,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","24-","College degree","10-","10-",41.1,20,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",86,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","10-","10-",78,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",37,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","45-54","College degree","21-30","21-30",150,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","uk","Woman","White","35-44","College degree","11-20","11-20",56.99,40,"Middle",15,15,3,"Medium","White","Woman","Not USA","Woman"
"Science","usa","Man","White","25-34","College degree","10-","10-",65,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",192.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Man","White","25-34","Master's degree","10-","10-",130,30,"Young",5,5,4,"High","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","Hispanic","25-34","College degree","10-","10-",68.125,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","PhD","10-","10-",147.1,40,"Middle",5,5,5,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",240.85,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","canada","Woman","White","25-34","College degree","11-20","10-",97.2,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Retail","canada","Woman","White","25-34","College degree","10-","10-",86,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Science","usa","Woman","White","35-44","PhD","10-","10-",96,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",54,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",105,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",75,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Media & Digital","canada","Woman","Asian ","35-44","College degree","11-20","11-20",41.6,40,"Middle",15,15,3,"Medium","Not White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Master's degree","21-30","11-20",106,40,"Middle",25,15,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","Hispanic","25-34","PhD","10-","10-",115,30,"Young",5,5,5,"High","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","11-20","10-",103.5,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Some college","10-","10-",33.2,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
